id,service_id,city_id,created_at,updated_at
db20d8d5-978a-4726-8a98-184f1d0c8be5,bde709ee-6ee3-45c4-9165-e36f63c9243b,6d1b9d62-db86-48c7-9da9-4d8f74c60309,2026-04-02 04:27:20.86,2026-04-02 04:27:20.86
e96c233e-43e3-494c-92f3-187d581fe932,bde709ee-6ee3-45c4-9165-e36f63c9243b,0b7f7e3c-23f8-4e26-8b63-67f3fe624dc4,2026-04-02 04:27:20.874,2026-04-02 04:27:20.874
5531953f-9bfa-4cb7-8952-f5fe7a8d066d,bde709ee-6ee3-45c4-9165-e36f63c9243b,5f1e6f6c-56f0-4016-8d0e-0513cee18eac,2026-04-02 04:27:20.878,2026-04-02 04:27:20.878
8579f047-4a8d-474c-977f-90f18821fb4d,bb3dea53-ac78-4c98-899e-d6b980b56d09,6d1b9d62-db86-48c7-9da9-4d8f74c60309,2026-04-02 04:27:20.89,2026-04-02 04:27:20.89
fb3af755-c4f0-416c-af1b-5b941770ffef,bb3dea53-ac78-4c98-899e-d6b980b56d09,0b7f7e3c-23f8-4e26-8b63-67f3fe624dc4,2026-04-02 04:27:20.894,2026-04-02 04:27:20.894
c8ad8c05-2fde-41af-b723-d4d023a9b093,bb3dea53-ac78-4c98-899e-d6b980b56d09,5f1e6f6c-56f0-4016-8d0e-0513cee18eac,2026-04-02 04:27:20.897,2026-04-02 04:27:20.897
dcf2fa29-00bb-442b-9601-7fed7d4d3b2d,bb3dea53-ac78-4c98-899e-d6b980b56d09,e2579dcb-6ed2-4f22-8c3e-a3faece92973,2026-04-02 04:27:20.926,2026-04-02 04:27:20.926
1ba2e088-976b-45bd-a37f-cc4816f1bd8c,529224d7-4fd9-431a-b02c-84feb3833819,6d1b9d62-db86-48c7-9da9-4d8f74c60309,2026-04-02 04:27:20.992,2026-04-02 04:27:20.992
e438856e-ce33-476e-a5ed-ff6061266a90,529224d7-4fd9-431a-b02c-84feb3833819,0b7f7e3c-23f8-4e26-8b63-67f3fe624dc4,2026-04-02 04:27:21.01,2026-04-02 04:27:21.01
3d48e6e6-af09-43b1-8563-0025ae792d4c,529224d7-4fd9-431a-b02c-84feb3833819,5f1e6f6c-56f0-4016-8d0e-0513cee18eac,2026-04-02 04:27:21.023,2026-04-02 04:27:21.023
ee95b7f3-d767-433f-9ac8-eca40eedcaaf,529224d7-4fd9-431a-b02c-84feb3833819,e2579dcb-6ed2-4f22-8c3e-a3faece92973,2026-04-02 04:27:21.031,2026-04-02 04:27:21.031
2ae908a2-c692-44d0-951e-7516776e7d34,529224d7-4fd9-431a-b02c-84feb3833819,a716d2dd-425f-46e0-bc46-d565bd6e4ef3,2026-04-02 04:27:21.038,2026-04-02 04:27:21.038
10737539-5ec9-4239-a50c-928d29fcf22b,0c76a77e-b23a-4dae-be5e-e185b1b3df37,6d1b9d62-db86-48c7-9da9-4d8f74c60309,2026-04-02 04:27:21.053,2026-04-02 04:27:21.053
a69ef19d-31d6-484b-9c41-d2b3fae8a512,0c76a77e-b23a-4dae-be5e-e185b1b3df37,0b7f7e3c-23f8-4e26-8b63-67f3fe624dc4,2026-04-02 04:27:21.056,2026-04-02 04:27:21.056
3d041172-ac43-4123-a7ba-d939013d1410,0c76a77e-b23a-4dae-be5e-e185b1b3df37,5f1e6f6c-56f0-4016-8d0e-0513cee18eac,2026-04-02 04:27:21.058,2026-04-02 04:27:21.058
9cd09b21-668b-43bf-90cd-330f916abe30,2af592be-0027-47c0-997a-7823a1cfde85,6d1b9d62-db86-48c7-9da9-4d8f74c60309,2026-04-02 04:27:21.066,2026-04-02 04:27:21.066
50a3f4f6-75bf-45ef-8c25-113cd8ba8285,2af592be-0027-47c0-997a-7823a1cfde85,0b7f7e3c-23f8-4e26-8b63-67f3fe624dc4,2026-04-02 04:27:21.07,2026-04-02 04:27:21.07
675b99d7-a2a4-445b-ba9f-ba4d5116ffbe,2af592be-0027-47c0-997a-7823a1cfde85,5f1e6f6c-56f0-4016-8d0e-0513cee18eac,2026-04-02 04:27:21.073,2026-04-02 04:27:21.073
757bc6cd-c5c8-4ab5-8d7d-73104aa0503e,2af592be-0027-47c0-997a-7823a1cfde85,e2579dcb-6ed2-4f22-8c3e-a3faece92973,2026-04-02 04:27:21.075,2026-04-02 04:27:21.075
201bec21-ded3-441e-81ed-ffe18135edd2,2af592be-0027-47c0-997a-7823a1cfde85,cd4d1d58-69fa-42c7-9696-f1dac47058c3,2026-04-02 04:27:21.078,2026-04-02 04:27:21.078
1de44bc4-839e-4369-b57b-cb5e87fcc1c5,d4e1b2a6-6475-4f20-93f6-e833507733fc,6d1b9d62-db86-48c7-9da9-4d8f74c60309,2026-04-02 04:27:21.087,2026-04-02 04:27:21.087
311236c9-eff8-4041-b414-efc6f23a2a0d,d4e1b2a6-6475-4f20-93f6-e833507733fc,0b7f7e3c-23f8-4e26-8b63-67f3fe624dc4,2026-04-02 04:27:21.098,2026-04-02 04:27:21.098
d4ef505f-5101-4474-9165-6e9550d861bd,d4e1b2a6-6475-4f20-93f6-e833507733fc,5f1e6f6c-56f0-4016-8d0e-0513cee18eac,2026-04-02 04:27:21.11,2026-04-02 04:27:21.11
f8de77bf-af7b-4725-906c-92cca1023f23,1534cdfa-8630-4526-8ccd-a0d533bdaa9b,cd4d1d58-69fa-42c7-9696-f1dac47058c3,2026-05-18 04:08:56.037,2026-05-18 04:08:56.037
