id,name,slug,latitude,longitude,is_active,is_featured,display_order,created_at,updated_at,country_id,state_id
6d1b9d62-db86-48c7-9da9-4d8f74c60309,Thiruvananthapuram,thiruvananthapuram,8.5241,76.9366,t,t,1,2026-04-02 04:27:20.720,2026-04-02 04:27:20.720,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
0b7f7e3c-23f8-4e26-8b63-67f3fe624dc4,Kochi,kochi,9.9312,76.2673,t,t,2,2026-04-02 04:27:20.722,2026-04-02 04:27:20.722,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
5f1e6f6c-56f0-4016-8d0e-0513cee18eac,Kozhikode,kozhikode,11.2588,75.7804,t,t,3,2026-04-02 04:27:20.725,2026-04-02 04:27:20.725,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
e2579dcb-6ed2-4f22-8c3e-a3faece92973,Thrissur,thrissur,10.5276,76.2144,t,t,4,2026-04-02 04:27:20.725,2026-04-02 04:27:20.725,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
a716d2dd-425f-46e0-bc46-d565bd6e4ef3,Kollam,kollam,8.8932,76.6141,t,t,5,2026-04-02 04:27:20.732,2026-04-02 04:27:20.732,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
cd4d1d58-69fa-42c7-9696-f1dac47058c3,Kannur,kannur,11.8745,75.3704,t,t,6,2026-04-02 04:27:20.734,2026-04-02 04:27:20.734,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
59dbb646-a7ac-408c-b180-ad71287fca92,Palakkad,palakkad,10.7867,76.6548,t,t,7,2026-04-02 04:27:20.734,2026-04-02 04:27:20.734,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
a8ac162b-831c-498a-b421-8642281db28d,Malappuram,malappuram,11.073,76.074,t,t,8,2026-04-02 04:27:20.738,2026-04-02 04:27:20.738,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
07a62744-e194-44af-8bd8-eef47c0def59,Kottayam,kottayam,9.5916,76.5222,t,t,9,2026-04-02 04:27:20.742,2026-04-02 04:27:20.742,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
ffed2635-0d0e-4a61-b2fc-9df1f63f6f23,Alappuzha,alappuzha,9.4981,76.3388,t,t,10,2026-04-02 04:27:20.738,2026-06-19 09:53:04.234,6f7e3582-7c4e-4ba9-9c68-7a270214cea6,673fa101-bcdd-4e92-9818-3457f9358bdb
